no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
1,Ricky Leung,https://scholar.google.com/citations?hl=en&user=wTuogtwAAAAJ,wTuogtwAAAAJ,University at Albany,Verified email at albany.edu,47864,"Technological Innovation, Health Information Technology, Health Analytics, Organization and Management Theory, Global Health",1975,2023,100,47864,36,47,34658,28,40
2,Hardeep Singh,https://scholar.google.com/citations?hl=en&user=quszY0gAAAAJ,quszY0gAAAAJ,"Professor, Baylor College of Medicine and Chief, Health Policy, Quality, and Informatics …",Verified email at bcm.edu,21459,"Health Information Technology, Reducing Diagnostic Errors, … Patient Safety through the Electronic Health …",1951,2024,648,21459,78,255,13334,59,233
3,Catherine M. DesRoches,https://scholar.google.com/citations?hl=en&user=0Lzgu5gAAAAJ,0Lzgu5gAAAAJ,"Executive Director, OpenNotes; Associate Professor of Medicine, Harvard Medical School",Verified email at bidmc.harvard.edu,20562,"Health Information Technology, OpenNotes, Health Care Workforce",1998,2024,231,20562,63,140,7437,44,104
4,Jeffrey Linder,https://scholar.google.com/citations?hl=en&user=oMaghoAAAAAJ,oMaghoAAAAAJ,Northwestern University Feinberg School of Medicine,Verified email at northwestern.edu,15331,"Ambulatory care, health information technology, antibiotic prescribing, behavioral economics",1999,2024,332,15331,53,132,8693,44,107
5,Daniel C Malone,https://scholar.google.com/citations?hl=en&user=ACzpckMAAAAJ,ACzpckMAAAAJ,"Professor of Pharmacy, University of Utah",Verified email at utah.edu,14257,"Drug Interactions, Health Information Technology, Pharmaceutical Services, Pharmacoeconomics",1993,2024,556,14257,56,204,5964,40,137
6,Richard J. Holden,https://scholar.google.com/citations?hl=en&user=WH6emMQAAAAJ,WH6emMQAAAAJ,"Professor of Health & Wellness Design, Indiana University School of Public Health …",Verified email at iu.edu,14243,"Human Factors, Healthcare Quality and Safety, Health Information Technology",2006,2024,256,14243,49,141,8798,42,128
7,Aaron Lyon,https://scholar.google.com/citations?hl=en&user=FIBPXCUAAAAJ,FIBPXCUAAAAJ,University of Washington,Verified email at uw.edu,11062,"implementation science, mental health services, school mental health, human-centered design, health information technology",2005,2024,246,11062,53,135,9243,49,130
8,Julia Adler-Milstein,https://scholar.google.com/citations?hl=en&user=eC-ioP8AAAAJ,eC-ioP8AAAAJ,UCSF,Verified email at ucsf.edu,10379,"Health information technology, health policy",2004,2024,340,10379,52,139,6509,41,122
9,Steven Simon,https://scholar.google.com/citations?hl=en&user=jIzuZr4AAAAJ,jIzuZr4AAAAJ,"Professor in Residence and Associate Dean for Veterans Affairs, David Geffen School of …",Verified email at partners.org,10077,"interventions to improve quality of care and …, health information technology, medical education",1978,2024,276,10084,56,146,3396,30,90
10,Paul C. Tang,https://scholar.google.com/citations?hl=en&user=PeRJToQAAAAJ,PeRJToQAAAAJ,Stanford University,Verified email at stanford.edu,9599,"Medical informatics, AI, LLM, health information technology, electronic health records",1991,2023,107,9599,37,52,2767,19,30
11,Peter Hoonakker,https://scholar.google.com/citations?hl=en&user=zRJA6IAAAAAJ,zRJA6IAAAAAJ,University of Wisconsin-Madison,Verified email at wisc.edu,9273,"Health Information Technology, Quality of Care, Patient Safety",1993,2024,232,9273,42,101,5497,35,80
12,"Jan Walker, JD Walker",https://scholar.google.com/citations?hl=en&user=rMC2lVUAAAAJ,rMC2lVUAAAAJ,"Beth Israel Deaconess Medical Center, Harvard Medical School",Verified email at bidmc.harvard.edu,9125,"patient experience, OpenNotes, health information technology",1883,2024,143,9125,43,83,3816,33,66
13,John W. Beasley,https://scholar.google.com/citations?hl=en&user=PvE64OcAAAAJ,PvE64OcAAAAJ,"Professor of Family Medicine, University of Wisconsin",Verified email at fammed.wisc.edu,7758,"Primary Care, Health Information Technology, Practice-Based Research Networks",1968,2012,29,7758,20,24,892,11,12
14,Duwayne Willett,https://scholar.google.com/citations?hl=en&user=Btc7Az0AAAAJ,Btc7Az0AAAAJ,"CMIO, Professor of Internal Medicine, University of Texas Southwestern Medical Center",Verified email at UTSouthwestern.edu,7061,"Medical Informatics, Clinical Decision Support, Business Intelligence, Population Health, Health Information Technology",1994,2024,115,7061,31,47,3550,22,40
15,Eyal Zimlichman,https://scholar.google.com/citations?hl=en&user=5RJihJEAAAAJ,5RJihJEAAAAJ,Sheba Medical Center,Verified email at sheba.gov.il,6124,"Health care management, quality of healthcare, patient safety, health information technology, innovation",1997,2024,202,6124,36,78,3834,30,56
16,"Joshua R Vest, PhD, MPH",https://scholar.google.com/citations?hl=en&user=eskRXSkAAAAJ,eskRXSkAAAAJ,Indiana University Richard M. Fairbanks School of Public Health at Indianapolis,Verified email at iu.edu,6047,"Health information technology, organizational theory, public health, health information exchange, health policy & management",2002,2024,196,6047,37,84,2846,27,64
